topic,topic_name,admiration,amusement,annoyance,approval,caring,confusion,curiosity,disappointment,disapproval,gratitude,optimism
0,"0: [high] Academic Planning & Course Selection (n=11,033)",1.3057484905123808,1.0219384282276396,0.7259374367421113,1.1934827011424203,0.9641972139772855,1.125608132664488,1.181321427953427,0.9387270723014043,0.9565121026275497,1.1426109949779741,0.9278251266920092
1,"1: [mixed] Parking & Transportation (n=5,563)",0.8836781808200108,1.1389497678138225,1.1327895236330647,0.8294220773214892,0.5223776609930928,1.1801991715466098,0.9349291659204042,0.908891139431489,0.873577558664617,0.7631288000488289,0.6414428742531557
2,"2: [high] Transfer & Financial Aid (n=7,020)",0.8325442925442926,0.7533185512539193,0.6949774601566848,1.0160684128534354,1.3231879836455,1.074504827219268,0.9279119954776449,1.2372051971831868,1.1673516241025885,1.0970158785133168,1.3502024141069084
3,"3: [high] Housing & Accommodation (n=4,436)",1.0620091256926243,1.057173396059335,0.9073403878488367,0.9802904343300689,0.6492426997850538,0.9005377481057659,0.9996990098890417,0.7721238952689493,0.7947866054805459,1.0241147922552618,0.8949020997037228
4,"4: [high] Academic Planning & Major Selection (n=5,006)",1.4511806471055373,0.9916128473479939,0.47104644872385765,1.5036900329030598,0.8033716216543882,0.887201850721588,0.9961815465565828,0.7575151930669257,1.070710432521694,1.1376139038370539,0.90883780554827
5,"5: [mixed] Political & Campus Discourse (n=5,175)",0.4485793303184608,1.1809612399066773,3.063944106951645,0.7307586069242116,0.521433127196128,0.7905963587153222,0.657676996102645,1.0715878939962642,1.7722734717796123,0.2776167621824859,0.6292012313800297
6,"6: [high] Course Registration & Waitlists (n=1,854)",0.34616951461611656,0.5920015726102424,0.6797959136969514,0.6695916842337646,0.9236551146888097,1.6339149908581618,1.197491830089486,1.4515548464148424,0.8351875048261633,1.0401826336037994,1.1788631928535933
7,"7: [high] Sports Ticket Sales (n=1,384)",0.6610577537600659,0.9552558218573904,0.822523901543822,0.3992347290998854,0.3749467031513954,0.7935435534383964,1.1318653706062067,0.8249377647911993,0.7573505546209326,0.8416654102646252,0.6445712986759944
8,"8: [high] Student Clubs & Activities (n=1,001)",0.791215173033355,0.922035325536223,0.40615565853312746,0.7527121039064227,0.4406466549323692,0.8198611377764473,1.3397659827752093,0.8146952094127442,0.7377478929129164,0.9438909948923923,1.2253937875928245
9,"9: [mixed] Study Abroad & Admissions (n=2,055)",1.8937983105866318,0.9589482673516012,0.3561125379780969,0.9463050174431664,0.7701824931107885,0.8456996124491787,1.384731650867493,0.6547889745141406,0.6259826481989607,2.0658323672368053,1.2372005014586824
10,"10: [high] Nursing & Healthcare Careers (n=1,013)",1.3210441168980163,0.6648661653442411,0.24080660268015436,1.0767324969075356,0.9476935229504766,0.9769444560560703,1.5686488305380957,1.288070925365697,0.5173608921990971,1.4693371360943046,1.0347500946761128
