campus,label,count,proportion
UNC,neutral,39039,0.4479672277875314
UNC,curiosity,8801,0.10099028078992967
UNC,approval,6756,0.07752418327653275
UNC,gratitude,6244,0.07164905274995123
UNC,admiration,3994,0.045830608053059774
UNC,confusion,3328,0.0381883484227799
UNC,amusement,2699,0.030970658771960022
UNC,caring,2257,0.025898768747059566
UNC,disapproval,2173,0.024934880145042283
UNC,optimism,2091,0.02399394127164446
UNC,annoyance,1428,0.01638610623429378
UNC,disappointment,1401,0.016076284897931083
UNC,joy,1272,0.014596027401975971
UNC,love,1106,0.012691199926560868
UNC,remorse,750,0.008606148232297153
UNC,sadness,669,0.00767668422320906
UNC,desire,639,0.007332438293917175
UNC,excitement,466,0.005347286768333965
UNC,surprise,439,0.005037465431971267
UNC,anger,382,0.004383398166316684
GATECH,neutral,105412,0.509709488994623
GATECH,curiosity,16250,0.07857529689373718
GATECH,approval,13520,0.06537464701558934
GATECH,gratitude,10044,0.04856678658465823
GATECH,admiration,8640,0.041777880933039344
GATECH,amusement,7560,0.036555645816409424
GATECH,confusion,6924,0.033480329581060696
GATECH,disapproval,5162,0.0249603496963367
GATECH,annoyance,4636,0.0224169277784225
GATECH,optimism,4072,0.019689760550849096
GATECH,disappointment,3862,0.018674325944837724
GATECH,caring,3528,0.017059301380991064
GATECH,joy,2926,0.014148388843758462
GATECH,love,2166,0.010473482650574446
GATECH,sadness,1854,0.008964836950214692
GATECH,remorse,1656,0.00800742717883254
GATECH,desire,1568,0.007581911724884917
GATECH,surprise,1350,0.006527793895787397
GATECH,excitement,1270,0.006140961664925922
GATECH,anger,1264,0.006111949247611311
