campus,label,count,proportion
UNC,neutral + approval + realization,8382,0.09618231264415299
UNC,neutral + annoyance + disapproval,4874,0.05592848864562176
UNC,curiosity + neutral + confusion,4481,0.051418866971898056
UNC,neutral + approval + annoyance,3169,0.0363638449975329
UNC,neutral + approval + optimism,2606,0.029903496391155176
UNC,neutral + disapproval + approval,2217,0.025439774174670384
UNC,neutral + curiosity + confusion,1770,0.02031050982822128
UNC,neutral + approval + disapproval,1747,0.020046587949097503
UNC,admiration + approval + neutral,1475,0.016925424856851067
UNC,curiosity + confusion + neutral,1317,0.0151123962959138
UNC,approval + neutral + optimism,1228,0.014091133372347872
UNC,gratitude + approval + neutral,1093,0.012542026690534384
UNC,neutral + disapproval + annoyance,1089,0.012496127233295466
UNC,approval + neutral + realization,1026,0.011773210781782506
UNC,neutral + realization + approval,988,0.011337165938012784
UNC,approval + neutral + admiration,888,0.010189679507039829
UNC,neutral + approval + caring,835,0.009581511698624165
UNC,neutral + approval + admiration,819,0.00939791386966849
UNC,neutral + confusion + curiosity,818,0.009386439005358762
UNC,gratitude + curiosity + confusion,779,0.008938919297279309
GATECH,neutral + approval + realization,21410,0.10352597578430235
GATECH,neutral + approval + annoyance,9270,0.044824184751073456
GATECH,curiosity + neutral + confusion,8702,0.042077675911956984
GATECH,neutral + approval + gratitude,7270,0.035153378979536576
GATECH,neutral + approval + optimism,6264,0.030288963676453524
GATECH,neutral + approval + disapproval,5334,0.025792038992688872
GATECH,neutral + disapproval + approval,5110,0.02470890874627674
GATECH,neutral + curiosity + confusion,4510,0.021807667014815676
GATECH,neutral + gratitude + approval,3650,0.017649220533054816
GATECH,neutral + disapproval + annoyance,3202,0.015482960040230552
GATECH,admiration + approval + neutral,3200,0.015473289234459016
GATECH,neutral + realization + approval,3156,0.015260531507485204
GATECH,curiosity + confusion + neutral,2768,0.013384395187807048
GATECH,approval + neutral + realization,2636,0.012746122006885614
GATECH,neutral + approval + caring,2444,0.011817724652818072
GATECH,neutral + annoyance + approval,2358,0.011401880004641986
GATECH,neutral + confusion + curiosity,2192,0.010599203125604426
GATECH,gratitude + neutral + approval,1992,0.009632122548450736
GATECH,neutral + approval + admiration,1960,0.009477389656106146
GATECH,approval + neutral + optimism,1944,0.009400023209933852
